Sno,Customer_ID,Weeks,Contract_Renewal,Data_Plan,Data_Usage,Calls_To_Customer_Care,DayMins,DayCalls,MonthlyCharge,OverageFee,RoamMins,Customer_Attrition,Inserted_Date
60,7779172,94,1,0,0,4,157.9,105,41,7.75,8,Yes,05/01/2012
61,7241372,111,1,0,0,1,214.3,118,55,10.43,12,No,05/01/2012
62,1186694,74,1,1,2.94,2,154.1,104,66.4,6.17,10.9,No,05/01/2012
63,2093396,128,1,0,0,1,237.9,125,62,12.38,13.9,Yes,05/01/2012
64,8453454,82,1,0,0.17,1,143.9,61,43.7,9.75,11.1,No,05/01/2012
65,1724256,155,1,0,0,0,203.4,100,51,9.55,8.9,Yes,05/01/2012
66,3362293,80,1,0,0,1,124.3,100,36,8.65,7.9,No,05/01/2012
67,2096551,78,1,0,0,3,,93,59,8.92,9.5,No,05/01/2012
68,5238725,90,1,0,0,3,179.1,71,47,9.53,10.6,No,05/01/2012
69,6748284,104,1,0,0.3,1,278.4,106,58,4.05,9.8,No,05/01/2012
70,7150165,73,1,0,0,0,160.1,110,46,10.67,13,No,05/01/2012
71,843473,99,1,0,0,4,198.2,87,52,10.37,8.7,No,05/01/2012
72,3859078,120,1,0,0,1,212.1,131,54,10.47,5.3,Yes,05/01/2012
73,6489995,77,1,0,0,2,251.8,72,61,10.29,9.8,Yes,05/01/2012
74,4758922,98,1,1,1.19,4,161.2,114,60.9,12.61,4.4,No,05/01/2012
75,5762470,108,1,0,0.34,0,178.3,137,50.4,9.45,14.6,No,05/01/2012
76,783779,135,1,0,0,0,151.7,82,36,5.95,10.5,No,05/01/2012
77,7261619,95,1,0,0,1,135,99,39,9.18,12.5,No,05/01/2012
78,5265098,122,1,0,0.39,1,170.5,94,47.9,8.69,11.3,No,05/01/2012
79,7001072,95,1,0,0,4,238.1,65,57,9.36,11.8,No,05/01/2012
80,2281787,36,1,1,2.43,2,281.4,102,90.3,10.11,9,No,05/01/2012
81,2000301,93,1,1,2.65,1,117.9,131,61.5,8.23,9.8,No,05/01/2012
82,6888650,141,1,1,2.73,1,148.6,91,64.3,6.56,10.1,No,05/01/2012
83,6256049,157,1,0,0,3,229.8,90,52,7.4,9.6,No,05/01/2012
84,7259955,120,1,0,0,1,165,100,56,15.86,8.3,No,05/01/2012
85,6895625,103,1,0,0,2,185,117,51,11.17,12.6,No,05/01/2012
86,655615,98,1,0,0,4,161,117,44,9.55,12.1,No,05/01/2012
87,6082884,125,1,0,0,1,126.7,108,40,10.3,13.3,No,05/01/2012
88,5546120,63,1,0,0,1,58.9,125,25,8.48,9.4,No,05/01/2012
89,287704,36,0,1,5.4,0,196.8,89,110,12.75,20,Yes,05/01/2012
90,5216685,64,1,0,0.29,1,162.6,83,43.9,7.62,14.2,No,05/01/2012
91,8338127,74,1,0,0.21,1,282.5,114,69.1,11,9.4,Yes,05/01/2012
92,8517826,112,1,1,2.7,2,113.7,117,60,7.88,10,No,05/01/2012
93,2282997,97,1,0,0,2,239.8,125,60,10.74,8.7,No,05/01/2012
94,7152876,46,1,0,0.21,1,210.2,92,58.1,11.37,13.1,No,05/01/2012
95,5080706,41,1,1,1.94,0,213.8,102,68.4,7.09,7.2,No,05/01/2012
96,3259192,121,1,,0,3,190.7,103,49,9.18,9.8,No,05/01/2012
97,6218038,193,1,0,0,1,170.9,124,41,6.62,11.6,No,05/01/2012
98,1109544,130,1,0,0,2,154.2,119,36,5.51,9.2,No,05/01/2012
99,2674886,85,1,0,0.4,1,201.4,52,58,11.47,12,No,05/01/2012
100,282046,162,1,0,0,4,70.7,108,26,7.88,9.1,Yes,05/01/2012
101,4308440,61,1,1,1.73,4,187.5,124,62.3,7.33,6.4,Yes,05/01/2012
102,1657609,92,1,0,0,2,91.7,90,33,9.69,9.2,No,05/01/2012
103,4157327,131,1,1,2.57,3,214.2,115,76.7,8.09,9.5,No,05/01/2012
104,3551792,90,1,0,0,3,145.5,92,44,10.89,10.9,No,05/01/2012
105,8153963,75,1,0,0,1,166.3,125,42,7.91,6.1,No,05/01/2012
106,4571254,78,1,0,0,1,231,115,59,11.52,9.5,No,05/01/2012
107,2424861,82,1,0,0,4,200.3,96,52,10.06,7.1,No,05/01/2012
108,1983954,163,1,0,0,1,197,109,51,10.13,9.1,No,05/01/2012
109,2671538,91,0,0,0.31,3,129.9,112,40.1,8.67,11.2,No,05/01/2012
110,7263442,75,1,1,1.43,5,175.8,97,63.3,10.88,5.3,No,05/01/2012
111,2254834,91,1,0,0,3,203.1,106,53,10.51,12,No,05/01/2012
112,7518619,127,1,1,3.02,1,183.2,117,72.2,6.34,11.2,No,05/01/2012
113,2893094,113,1,1,2.75,2,205,101,75.5,7.6,10.2,No,05/01/2012
114,201518,110,1,0,0,1,148.5,115,49,13.82,12.4,No,05/01/2012
115,7241339,120,,1,2.84,0,200.3,68,81.4,11.02,10.5,No,05/01/2012
116,3037390,157,1,1,1.84,3,192.6,107,68.4,9.78,6.8,No,05/01/2012
117,1774080,103,1,0,0,1,246.5,47,59,9.78,11.7,No,05/01/2012
118,4706351,117,0,0,0,2,167.1,86,44,8.88,14.1,Yes,05/01/2012
119,5280780,140,1,0,0,3,231.9,101,54,8.01,14.3,No,05/01/2012
120,3750238,127,1,0,0,1,146.7,91,43,10.18,13.7,No,05/01/2012
121,6590369,83,0,0,0.26,1,271.5,87,67.6,10.82,11.7,No,05/01/2012
122,3216762,121,1,0,0,1,181.5,121,50,10.92,8.5,No,05/01/2012
123,3198418,145,1,1,3,2,257.7,97,88,8.11,11.1,No,05/01/2012
124,1434119,113,1,0,0,1,193.8,99,52,11.07,10.6,No,05/01/2012
125,2266734,117,1,0,0,1,102.8,119,36,10.34,10.1,No,05/01/2012
126,3341602,65,1,0,0,1,187.9,116,46,7.88,7.5,No,05/01/2012
127,5977045,56,1,0,0,1,226,112,60,12.43,6.9,No,05/01/2012
128,7839362,96,1,0,0,5,260.4,115,57,7.3,11.5,No,05/01/2012
129,4007674,151,1,0,0,0,178.7,116,56,14.61,9.8,No,05/01/2012
130,5468306,83,1,0,0,0,337.4,120,77,11.37,15.8,Yes,05/01/2012
131,2632905,139,1,1,3.7,0,157.6,129,85,12.35,13.7,No,05/01/2012
132,8990282,6,1,0,0,1,183.6,117,54,12.84,10.2,No,05/01/2012
133,5902656,115,1,1,2.59,1,142.1,124,65.9,9.17,9.6,No,05/01/2012
134,8738350,87,1,0,0.31,0,136.3,97,41.1,8.61,7.1,No,05/01/2012
135,1043574,141,1,0,0,0,217.1,110,58,12.08,12,No,05/01/2012
136,1411832,141,1,1,2.84,3,187.5,99,81.4,12.07,10.5,No,05/01/2012
137,1144023,62,1,0,0,1,98.9,103,29,6.77,12.2,No,05/01/2012
138,1872138,146,1,0,0,1,206.3,151,48,7.43,6.1,No,05/01/2012
139,2839199,92,1,1,3.27,2,243.1,92,92.7,10.69,12.1,No,05/01/2012
140,2209255,185,1,1,2.03,1,189.8,126,67.3,8.17,7.5,No,05/01/2012
141,3632033,148,1,0,0.39,1,202,102,59.9,12.16,10.9,No,05/01/2012
142,3689890,94,1,1,3.46,1,170.1,124,80.6,9.67,12.8,No,05/01/2012
143,6400599,32,1,0,0,0,230.9,87,56,9.37,6.3,No,05/01/2012
144,6634639,68,1,0,0,1,237.1,105,60,11.18,13.2,No,05/01/2012
145,7054648,64,1,1,2.86,2,182.1,91,74.6,8.49,10.6,No,05/01/2012
146,2521140,25,1,0,0.14,3,119.3,87,40.4,10.58,10.5,No,05/01/2012
147,8872576,65,1,0,0,1,116.8,87,36,8.95,14.1,No,05/01/2012
148,6677154,179,1,0,0,0,219.2,92,50,7.47,6.1,No,05/01/2012
149,8065402,94,1,0,0,2,252.6,104,58,8.45,11.1,No,05/01/2012
150,5961655,62,1,0,0,0,147.1,91,42,9.52,12.2,No,05/01/2012
151,5823359,127,1,0,0,2,202.1,103,54,11.47,11.5,No,05/01/2012
152,4200858,116,1,0,0.23,3,173.5,93,48.3,9.71,16.2,No,05/01/2012
153,1837579,70,1,0,0,3,232.1,122,65,14.62,0,No,05/01/2012
154,2286252,94,0,1,2.57,4,197.1,125,77.7,10.73,9.5,No,05/01/2012
155,92564,126,1,0,0,5,58.2,94,22,6.94,11.9,Yes,05/01/2012
156,6158049,67,1,1,2.67,2,115.6,111,66.7,11.89,9.9,No,05/01/2012
157,4594354,19,1,0,0.14,2,186.1,98,55.4,12.72,14.6,No,05/01/2012
158,2112728,170,0,0,0,3,259.9,68,66,12.25,8.4,No,05/01/2012
159,4198527,73,1,0,0,1,214.3,145,60,13.43,10.8,No,05/01/2012
160,2740499,106,1,0,0,1,158.7,74,33,3.22,10.2,No,05/01/2012
161,4254759,93,1,0,0.19,2,271.6,71,67.9,11.47,10.9,No,05/01/2012
162,4980292,164,1,0,0.27,1,160.6,111,44.7,8.16,9,No,05/01/2012
163,8442842,51,1,0,0,1,232.4,109,56,9.37,9.1,No,05/01/2012
164,3118461,107,1,0,0,0,133.8,85,39,9.03,8.9,No,05/01/2012
165,630867,130,1,0,0.35,1,176.9,109,41.5,4.54,9.5,No,05/01/2012
166,6542153,80,1,0,0,2,209.9,74,53,9.76,8.8,No,05/01/2012
167,7246742,94,1,0,0.22,0,137.5,118,43.2,10.16,13.4,No,05/01/2012
168,5552603,118,1,1,2.57,1,289.5,52,89.7,8.33,9.5,No,05/01/2012
169,2633707,117,1,1,1.84,1,198.1,86,67.4,8.85,6.8,No,05/01/2012
170,2932101,78,1,0,0,0,149.7,119,41,9.11,9.7,No,05/01/2012
171,8851464,208,1,0,0.33,2,326.5,67,74.3,8.82,10.7,Yes,05/01/2012
172,4755103,131,0,1,3.73,4,292.9,101,104.3,9.99,13.8,Yes,05/01/2012
173,4352437,63,1,0,0,0,83,64,30,8.85,13,No,05/01/2012
174,5181675,53,1,1,3.54,3,145.7,146,79.4,11.03,13.1,No,05/01/2012
175,512799,62,1,0,0,2,182.3,101,59,16.41,11.2,No,05/01/2012
176,3053909,97,1,0,0,3,218,86,53,9.2,6.4,No,05/01/2012
177,6196779,105,1,0,0,2,140.6,109,40,8.93,6.8,No,05/01/2012
178,8034118,157,1,0,0,1,152.7,105,48,12.88,9.4,No,05/01/2012
179,5777937,66,1,1,3.27,1,106.7,76,68.7,10.49,12.1,No,05/01/2012
180,942750,122,1,0,0,2,243.8,98,49,4.2,13.7,No,05/01/2012
181,3275741,38,1,0,0,3,194.4,94,49,9.34,10.8,No,05/01/2012
182,5413153,106,1,0,0,3,213.9,95,50,7.6,12.2,No,05/01/2012
183,2530937,99,1,0,0,3,217.2,112,58,12.34,15.8,No,05/01/2012
184,3893312,99,1,0,0,1,241.1,72,55,7.78,11.6,No,05/01/2012
185,2341193,144,0,0,0,0,203.5,100,56,12.38,11.9,No,05/01/2012
186,543405,82,1,1,2.89,1,155.2,131,76.9,12.23,10.7,No,05/01/2012
187,7068851,86,1,1,3.29,1,167.6,139,71.9,5.65,12.2,No,05/01/2012
188,379294,70,0,0,0,2,226.7,98,58,11.41,17.6,Yes,05/01/2012
189,5602033,93,1,0,0,3,179.3,93,46,8.93,11.5,No,05/01/2012
190,2068556,93,1,0,0.31,0,151.4,89,45.1,9.32,10.9,No,05/01/2012
191,152322,120,1,0,0,3,180,80,50,11.21,4.7,No,05/01/2012
192,6178216,136,1,0,0,1,250.2,121,66,13.36,13,Yes,05/01/2012
193,1126254,106,1,0,0.4,0,223,121,52,5.51,7.1,No,05/01/2012
194,5294820,81,1,0,0,3,183.6,116,45,7.63,12.2,No,05/01/2012
195,8414330,127,1,1,2.75,1,166,114,71.5,8.73,10.2,No,05/01/2012
196,,65,1,0,0,1,136.1,112,47,13.65,4.4,No,05/01/2012
197,7935264,35,1,0,0.32,2,149.3,113,49.2,12.11,8.9,No,05/01/2012
198,4559975,88,1,0,0,2,65.4,97,26,8.41,13.8,No,05/01/2012
199,1308537,65,1,0,0,1,213.4,111,57,11.73,2.7,No,05/01/2012
200,6556414,123,1,0,0,3,206.9,85,56,12.24,7.7,No,05/01/2012
201,595283,126,1,1,2.59,2,186.2,78,73.9,9.48,9.6,No,05/01/2012
202,5143717,104,1,1,3.59,4,280.2,136,102.9,11.03,13.3,No,05/01/2012
203,2215342,45,1,1,3.21,0,196.6,84,93.1,15.66,11.9,No,05/01/2012
204,4070511,93,0,0,0,0,312,109,65,6.47,10.5,Yes,05/01/2012
205,6289018,63,0,1,2.97,1,199,110,88.7,14.57,11,No,05/01/2012
206,1940970,100,1,0,0.25,3,203.1,96,55.5,10.85,13.5,No,05/01/2012
207,7824627,53,1,0,0,0,168.8,97,48,11.02,10.9,No,05/01/2012
208,5045752,92,0,0,0,1,173.1,140,50,12.02,9,No,05/01/2012
209,6877888,139,1,0,0,5,134.4,106,41,10.57,10.2,Yes,05/01/2012
210,3792310,110,1,1,2.43,2,202.6,103,69.3,5.94,9,No,05/01/2012
211,3658701,110,1,0,0.31,3,74.5,117,33.1,10.04,9.8,No,05/01/2012
212,7375585,215,1,0,0.31,0,83.6,148,28.1,6.05,10.7,No,05/01/2012
213,7150440,73,1,0,0,1,192.2,86,47,8.43,9.4,No,05/01/2012
214,3890155,138,1,0,0,0,220.2,89,45,4.42,12.9,No,05/01/2012
215,1767500,137,0,0,0,2,135.1,95,35,6.71,12.3,Yes,05/01/2012
216,316054,36,1,0,0.25,1,253.4,77,61.5,9.12,8.4,No,05/01/2012
217,8002193,85,1,0,0,3,225,81,54,8.85,7.1,No,05/01/2012
218,6157140,108,1,0,0,0,198.5,99,57,13.39,9.4,Yes,05/01/2012
219,8287716,22,1,0,0,0,110.3,107,33,8.33,9.5,No,05/01/2012
220,6575493,107,1,1,3,0,60,102,49,5.11,11.1,No,05/01/2012
221,4288338,51,1,0,0,0,214.8,94,50,7.49,10.2,No,05/01/2012
222,8833913,94,1,0,0,4,181.8,85,49,10.12,9.2,No,05/01/2012
223,1018643,119,1,1,3.19,2,154,114,81.9,13.9,11.8,No,05/01/2012
224,5458144,33,1,1,3.75,4,157.4,99,74.5,5.9,13.9,Yes,05/01/2012
225,6535023,106,1,0,0,4,207.9,91,50,8.6,14.4,No,05/01/2012
226,8064339,82,1,0,0,3,207,90,55,11.65,9.1,No,05/01/2012
227,8964366,86,1,1,2.57,0,119,101,65.7,11.5,9.5,No,05/01/2012
228,4705716,97,0,0,0.28,0,143.7,117,50.8,13.65,10.9,No,05/01/2012
229,8458947,106,1,1,3.81,4,165.9,126,85.1,10.83,14.1,No,05/01/2012
230,3895406,108,1,0,0,1,138.6,122,39,8.62,9.8,No,05/01/2012
231,4475593,114,1,0,0.29,1,84.7,118,38.9,12.5,14.5,No,05/01/2012
232,6825198,92,0,0,0,1,62.6,111,26,9.03,10.4,Yes,05/01/2012
233,5410044,59,1,0,0,1,155.2,79,47,11.77,8.7,No,05/01/2012
234,936393,24,1,1,1.81,1,164.9,110,64.1,10.47,6.7,No,05/01/2012
235,8219577,151,1,0,0,1,134.5,88,36,7.16,15.4,No,05/01/2012
236,6763751,117,1,0,0,1,143.3,103,43,10.57,11.5,No,05/01/2012
237,8785250,78,1,0,0.51,1,168.3,110,53.1,11.06,12.5,No,05/01/2012
238,6673763,155,1,0,0,2,262.4,55,62,9.73,8.3,No,05/01/2012
239,654021,114,1,1,3.08,1,206.2,79,88.8,13,11.4,No,05/01/2012
240,3743719,114,1,1,2.27,4,225.8,94,77.7,9.65,8.4,No,05/01/2012
241,859316,119,1,0,0,3,138.3,89,38,8.53,13.5,No,05/01/2012
242,7775561,64,1,1,1.22,0,94.4,104,40.2,6.81,4.5,No,05/01/2012
243,1991036,118,0,0,0,2,160,123,43,8.77,9.9,No,05/01/2012
244,683005,101,1,0,0,0,206.6,105,55,11.25,14.6,No,05/01/2012
245,5620735,117,1,0,0,1,134.7,121,39,9,7.7,No,05/01/2012
246,4404236,49,1,1,2.16,3,214.4,78,78.6,11.76,8,No,05/01/2012
247,6145924,139,1,0,0,3,192.8,104,53,11.72,13,No,05/01/2012
248,7444599,92,1,1,2.7,1,151.1,90,70,9.74,10,No,05/01/2012
249,7032469,83,1,0,0,3,221.4,103,58,11.59,9.8,No,05/01/2012
250,4830524,148,0,0,0,0,218.9,88,55,10.4,11.1,No,05/01/2012
251,353903,144,1,1,1.76,2,189.8,96,60.6,6.17,6.5,Yes,05/01/2012
252,6746839,131,1,1,2.94,2,192.7,85,81.4,11.3,10.9,No,05/01/2012
253,6213055,146,0,0,0,3,204.4,135,54,10.96,10.5,No,05/01/2012
254,5195616,143,1,0,0.42,2,172.3,97,49.2,8.7,13,No,05/01/2012
255,6577661,81,1,0,0.13,2,198.4,93,53.3,10.55,10.4,No,05/01/2012
256,5123564,48,1,1,3.29,1,211.7,115,82.9,8,12.2,No,05/01/2012
257,2471653,86,1,1,2.43,1,221.6,74,87.3,14.42,9,No,05/01/2012
258,8509820,71,1,0,0,3,197.9,108,50,9.08,6.7,No,05/01/2012
259,6928715,145,1,1,4.21,2,147.5,90,83.1,8.79,15.6,No,05/01/2012
260,3586704,137,1,0,0,2,206.4,122,46,6.4,8.8,No,05/01/2012
261,4279635,137,1,0,0.27,2,205.9,88,55.7,10.47,14.5,No,05/01/2012
262,3458517,167,1,0,0,0,207.6,88,47,6.62,14.1,No,05/01/2012
263,8152688,89,1,0,0,1,303.9,95,74,13.05,5.3,Yes,05/01/2012
264,7544992,199,1,1,2.16,0,230.6,121,79.6,10.97,8,No,05/01/2012
265,7284054,132,1,0,0,0,99.5,110,28,6.46,9.7,No,05/01/2012
266,8796124,94,1,0,0,1,177.1,112,47,9.7,5.9,No,05/01/2012
267,2970999,96,1,1,2.78,5,172.7,93,67.8,6.01,10.3,Yes,05/01/2012
268,7881330,96,1,1,2.65,1,172.7,86,67.5,6.67,9.8,No,05/01/2012
269,5477747,166,1,0,0.29,1,204.2,115,52.9,9,9.5,No,05/01/2012
270,1244501,74,1,0,0.2,2,85.7,83,38,12.39,10.1,No,05/01/2012
271,7886339,36,1,0,0.34,0,157.6,117,46.4,9.22,11.9,No,05/01/2012
272,6487666,113,1,0,0,4,215.5,129,56,10.94,6.6,No,05/01/2012
273,6857119,94,1,0,0,1,181.5,98,48,10,6.6,No,05/01/2012
274,6445695,67,1,0,0,2,171.7,80,39,5.52,11.9,No,05/01/2012
275,1394901,127,1,0,0.26,1,266.6,106,70.6,13.24,5.9,Yes,05/01/2012
276,3799693,,1,0,0,0,170.4,108,59,17.53,11.2,Yes,05/01/2012
277,504686,158,1,0,0,1,158,106,52,14.63,9.1,No,05/01/2012
278,4217626,136,1,0,0.34,1,92,117,41.4,12.68,10.3,No,05/01/2012
279,1485612,196,1,0,0,2,234,109,61,12.48,9.1,No,05/01/2012
280,1593727,113,1,0,0,1,272.1,111,70,13.43,8.5,Yes,05/01/2012
281,4950987,122,1,0,0,4,296.4,99,69,10.74,11.4,Yes,05/01/2012
282,507993,112,1,0,0.29,0,194.4,101,52.9,9.52,11.4,No,05/01/2012
283,3369639,209,1,0,0,3,227.2,128,61,12.92,8.9,No,05/01/2012
284,1868262,62,1,0,0,1,248.7,109,61,11,13.2,Yes,05/01/2012
285,7942159,110,1,1,2.62,1,236.3,102,83.2,9.8,9.7,No,05/01/2012
286,977070,16,1,0,0,0,205.6,69,50,8.48,10.9,No,05/01/2012
287,1404411,73,1,0,0,0,94.1,136,40,14.02,9.8,No,05/01/2012
288,301577,128,1,0,0,0,125.2,99,39,10.27,18.9,No,05/01/2012
289,7008001,39,1,0,0.23,1,60.4,158,39.3,15.31,12.4,No,05/01/2012
290,1084041,103,1,1,2.08,2,121,105,64.8,13.52,7.7,No,05/01/2012
291,7447992,119,1,1,2.05,3,117.8,66,62.5,12.84,7.6,No,05/01/2012
292,74569,173,1,1,1.35,3,232.4,96,71.5,10.6,5,No,05/01/2012
293,3080578,128,0,1,2.54,2,223.5,81,80.4,9.44,9.4,Yes,05/01/2012
294,4384944,86,1,0,0,0,176.3,79,52,12.96,6.2,No,05/01/2012
295,4675117,114,1,1,3.48,1,125.2,79,71.8,8.89,12.9,No,05/01/2012
296,4588153,104,1,0,0,0,138.7,107,46,12.85,10,No,05/01/2012
297,6895304,148,1,0,0,1,86.3,134,36,12.33,11.3,No,05/01/2012
298,6916556,129,1,0,0,3,207,91,49,7.75,13.4,No,05/01/2012
299,5517074,100,1,1,1.92,0,58.8,104,48.2,10.98,7.1,No,05/01/2012
300,4770662,121,1,1,3.08,1,68.7,95,60.8,10.46,11.4,No,05/01/2012
301,2920881,143,1,1,2.57,1,239.2,109,86.7,11.78,9.5,No,05/01/2012
302,3047992,76,1,0,0,0,198.3,130,53,10.86,12.5,No,05/01/2012
303,8078094,158,1,0,0.14,0,205.2,97,57.4,12.03,14.4,No,05/01/2012
304,5901342,116,1,0,0.24,3,192.1,98,62.4,15.65,7.9,No,05/01/2012
305,2433763,54,1,0,0,1,272.6,83,68,12.44,9.5,Yes,05/01/2012
306,2592250,86,1,0,0.3,7,128.3,121,42,9.86,12.2,Yes,05/01/2012
307,2915399,108,1,0,0,0,169.6,99,52,13.21,9.3,No,05/01/2012
308,5562424,66,1,0,0,1,201.3,95,48,7.64,7.5,No,05/01/2012
309,5070044,151,1,1,2.32,1,214.7,97,72.2,6.93,8.6,No,05/01/2012
310,6620775,99,1,0,0,0,169.2,70,52,13.58,10.6,No,05/01/2012
311,6092110,55,1,0,0,2,194.1,121,49,8.83,7,No,05/01/2012
312,5258423,77,1,0,0,2,233.8,104,63,13.33,7.6,No,05/01/2012
313,5953866,78,1,0,0,0,225.1,67,56,9.96,14.6,No,05/01/2012
314,753579,89,1,0,0,1,213,63,52,8.83,9.1,Yes,05/01/2012
315,1574841,,,,,,,,,,,,05/01/2012
316,3974552,44,1,1,3.78,0,221.8,105,89.8,8.09,14,No,05/01/2012
317,8885945,98,1,1,0,2,64.6,98,26,8.81,0,No,05/01/2012
318,4875109,64,1,1,3.59,1,154.6,92,69.9,4.17,13.3,No,05/01/2012
319,8399973,141,1,0,0,3,260.2,131,60,8.96,7.2,No,05/01/2012
320,2931619,81,1,1,3.29,1,161.6,117,70.9,6.15,12.2,No,05/01/2012
321,8366040,162,1,0,0,1,220.6,117,51,7.76,10.5,No,05/01/2012
322,2710478,83,1,1,3.54,3,155.9,122,76.4,8.12,13.1,No,05/01/2012
323,4218133,100,1,0,0.34,4,107,63,31.4,5.29,12.8,Yes,05/01/2012
324,5857109,59,1,0,0.51,4,182.5,104,54.1,10.24,11.3,No,05/01/2012
325,6841503,179,0,1,2.73,4,220.1,78,85.3,11.72,10.1,No,05/01/2012
326,7602896,79,1,0,0,1,152.2,112,41,8.86,5.3,No,05/01/2012
